slug,term,group,text,ref,source,url
distributor,Distributor,EU AI Act,"Anyone in the supply chain, other than the provider or the importer, who makes an AI system available on the EU market, such as a reseller.","EU AI Act, Article 3(7)",https://artificialintelligenceact.eu/article/3/,https://getdutybound.com/glossary/#distributor
domestic-representative,Domestic representative (Korea),South Korea,"A local representative that foreign companies must appoint under Korea's AI Basic Act when they exceed any threshold: annual revenue over KRW 1 trillion, AI-service revenue over KRW 10 billion, or more than one million average daily Korean users.",AI Basic Act,https://www.cooley.com/news/insight/2026/2026-01-27-south-koreas-ai-basic-act-overview-and-key-takeaways,https://getdutybound.com/glossary/#domestic-representative
emotion-recognition-system,Emotion recognition system,EU AI Act,An AI system that identifies or infers people's emotions or intentions from their biometric data. Deployers must inform the people exposed to it; using it at work or in education is prohibited except for medical or safety reasons.,"EU AI Act, Article 3(39), Article 5 and Article 50(3)",https://artificialintelligenceact.eu/article/3/,https://getdutybound.com/glossary/#emotion-recognition-system
fine-tiers,Fine tiers and the SME rule,EU AI Act,"Three maximums: EUR 35 million or 7% of global turnover for prohibited practices, EUR 15 million or 3% for most other duties including Article 50, and EUR 7.5 million or 1% for incorrect information to authorities. Larger companies face the higher of the two figures; SMEs and start-ups the lower.","EU AI Act, Article 99",https://artificialintelligenceact.eu/article/99/,https://getdutybound.com/glossary/#fine-tiers
general-purpose-ai-model,General-purpose AI model,EU AI Act,"An AI model that displays significant generality and can competently perform a wide range of distinct tasks, and can be integrated into many downstream systems, typically trained on large data with self-supervision. Obligations for model providers have applied since 2 August 2025; companies that only use such models are not in scope of those duties.","EU AI Act, Article 3(63)",https://artificialintelligenceact.eu/article/3/,https://getdutybound.com/glossary/#general-purpose-ai-model
high-impact-ai,High-impact AI (Korea),South Korea,"Under Korea's AI Basic Act, AI in areas such as healthcare, energy, transport, hiring and biometric analysis. Operators must assess the impact on fundamental rights before deployment, explain outcomes, provide human oversight, keep a user protection plan and document the system.",AI Basic Act,https://www.cooley.com/news/insight/2026/2026-01-27-south-koreas-ai-basic-act-overview-and-key-takeaways,https://getdutybound.com/glossary/#high-impact-ai
high-risk-ai-system,High-risk AI system (Annex III),EU AI Act,"AI used in listed sensitive areas such as employment and recruitment, education, credit scoring, essential services, law enforcement, migration and justice. These systems carry the heaviest duties: risk management, data governance, documentation, logging, human oversight, conformity assessment. The Digital Omnibus deferred these obligations from 2 August 2026 to 2 December 2027.","EU AI Act, Annex III; deferral by Regulation (EU) 2026/1744",https://www.gibsondunn.com/eu-ai-act-omnibus-agreement-postponed-high-risk-deadlines-and-other-key-changes/,https://getdutybound.com/glossary/#high-risk-ai-system
fundamental-rights-impact-assessment,Impact assessment,Practice,"A documented review of how an AI system could affect people's rights, safety and access to services, with mitigations and oversight. Korea requires one for high-impact AI; the EU requires one from certain deployers of high-risk systems once those obligations apply.","Korea AI Basic Act; EU AI Act, Article 27",https://www.cooley.com/news/insight/2026/2026-01-27-south-koreas-ai-basic-act-overview-and-key-takeaways,https://getdutybound.com/glossary/#fundamental-rights-impact-assessment
importer,Importer,EU AI Act,An organisation located or established in the EU that places on the EU market an AI system carrying the name or trademark of someone established outside the EU.,"EU AI Act, Article 3(6)",https://artificialintelligenceact.eu/article/3/,https://getdutybound.com/glossary/#importer
iso-42001,ISO/IEC 42001,Standards,"The international standard for an AI management system, published in 2023. Organisations can be certified against it by accredited certification bodies. Annex A lists 38 controls under nine objectives; clause 6.1.3 asks organisations to pick the controls their risk treatment needs.",ISO/IEC 42001:2023,https://www.isms.online/iso-42001/annex-a-controls/,https://getdutybound.com/glossary/#iso-42001
korea-ai-basic-act,Korea AI Basic Act,South Korea,"South Korea's framework AI law, in force since 22 January 2026, with high-impact duties activated on 21 July 2026 and a grace period of at least one year before fines. It applies to domestic and foreign businesses; generative AI must be disclosed and labelled.",AI Basic Act,https://www.cooley.com/news/insight/2026/2026-01-27-south-koreas-ai-basic-act-overview-and-key-takeaways,https://getdutybound.com/glossary/#korea-ai-basic-act
kribsi,KRiBSI,Poland,"Komisja Rozwoju i Bezpieczeństwa Sztucznej Inteligencji, Poland's national AI supervisor under the Act on AI systems. From 28 October 2026 it can inspect, on seven days' notice and remotely by default, and impose fines. Companies can ask it for a binding individual opinion for a fee of 150 PLN.",Ustawa o systemach sztucznej inteligencji,https://www.ktzr.pl/ustawa-o-systemach-sztucznej-inteligencji/,https://getdutybound.com/glossary/#kribsi
machine-readable-marking,Machine-readable marking,EU AI Act,Metadata or watermark signals embedded in AI-generated content so software can recognise it as artificial. Article 50(2) requires providers of generative systems to mark output; the Digital Omnibus adds a marking duty for generative output from 2 December 2026.,"EU AI Act, Article 50(2); Regulation (EU) 2026/1744",https://compliancehub.wiki/eu-digital-omnibus-ai-act-deadline-deferral-annex-iii-2027/,https://getdutybound.com/glossary/#machine-readable-marking
nis2,NIS2,Standards,"The EU cybersecurity directive (EU) 2022/2555 for essential and important entities in listed sectors. Article 21 requires ten groups of risk-management measures; Article 23 requires an early warning within 24 hours of a significant incident, a notification within 72 hours and a final report within one month. AI systems are part of the network and information systems it covers.","Directive (EU) 2022/2555, Articles 21 and 23",https://www.nis-2-directive.com/NIS_2_Directive_Article_21.html,https://getdutybound.com/glossary/#nis2
polish-ai-systems-act,Polish Act on AI systems,Poland,"Ustawa o systemach sztucznej inteligencji: passed on 3 July 2026, published on 27 July 2026, main provisions in force since 11 August 2026. It creates the national supervision and enforcement structure for the EU AI Act; the substantive duties come from the EU regulation.",Ustawa o systemach sztucznej inteligencji,https://www.ktzr.pl/ustawa-o-systemach-sztucznej-inteligencji/,https://getdutybound.com/glossary/#polish-ai-systems-act
prohibited-practices,Prohibited practices,EU AI Act,"A short list of AI uses banned outright under Article 5, carrying the highest fine tier of up to EUR 35 million or 7% of global annual turnover. Check any system that scores, manipulates, or reads emotions or biometrics against it first.","EU AI Act, Article 5 and Article 99",https://artificialintelligenceact.eu/article/5/,https://getdutybound.com/glossary/#prohibited-practices
provider,Provider,EU AI Act,"The organisation that develops an AI system or general-purpose AI model, or has one developed, and places it on the market or puts it into service under its own name or trademark, paid or free. Most technical duties fall on providers.","EU AI Act, Article 3(3)",https://artificialintelligenceact.eu/article/3/,https://getdutybound.com/glossary/#provider
serious-incident,Serious incident,EU AI Act,"An incident or malfunction of an AI system that directly or indirectly leads to a death or serious harm to health, serious and irreversible disruption of critical infrastructure, an infringement of EU law protecting fundamental rights, or serious harm to property or the environment.","EU AI Act, Article 3(49)",https://artificialintelligenceact.eu/article/3/,https://getdutybound.com/glossary/#serious-incident
statement-of-applicability,Statement of Applicability,Standards,"The ISO/IEC 42001 record of which Annex A controls an organisation applies, which it excludes, and why. Certification auditors read it early; the kit's document 14 is a starting point for it.","ISO/IEC 42001:2023, clause 6.1.3",https://www.isms.online/iso-42001/annex-a-controls/,https://getdutybound.com/glossary/#statement-of-applicability
substantial-modification,Substantial modification,EU AI Act,"A change to an AI system after it was placed on the market that the provider did not foresee in its conformity assessment and that affects compliance with the high-risk requirements or changes the intended purpose. A deployer who substantially modifies a system, or puts its own name on it, can take on provider obligations.","EU AI Act, Article 3(23); roles along the value chain in Article 25",https://artificialintelligenceact.eu/article/3/,https://getdutybound.com/glossary/#substantial-modification
traiga,TRAIGA,United States,"The Texas Responsible AI Governance Act (HB 149), in force since 1 January 2026. It bans a short list of intentional uses, including AI that incites self-harm or crime, AI-generated child sexual abuse material, non-consensual deepfake pornography and government social scoring.",Texas HB 149,https://www.kslaw.com/news-and-insights/new-state-ai-laws-are-effective-on-january-1-2026-but-a-new-executive-order-signals-disruption,https://getdutybound.com/glossary/#traiga
